[2026-09-22T00:27:46.912+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:46,912 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_3699.jpg
[2026-09-22T00:27:51.040+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:51,040 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3700.mp3
[2026-09-22T00:27:51.306+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:51,306 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3700.mp3
[2026-09-22T00:27:51.875+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:51,875 | INFO     | media.image_downloader | Downloaded background image for scene='bar' -> /opt/airflow/output/images/long_3700.jpg
[2026-09-22T00:27:55.333+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:55,333 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3709.mp3
[2026-09-22T00:27:55.624+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:55,624 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3709.mp3
[2026-09-22T00:27:56.337+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:27:56,337 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3709.jpg
[2026-09-22T00:28:00.887+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:00,886 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3717.mp3
[2026-09-22T00:28:01.247+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:01,247 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3717.mp3
[2026-09-22T00:28:01.930+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:01,929 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_3717.jpg
[2026-09-22T00:28:06.534+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:06,534 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3722.mp3
[2026-09-22T00:28:06.911+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:06,911 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3722.mp3
[2026-09-22T00:28:07.819+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:07,818 | INFO     | media.image_downloader | Downloaded background image for scene='home' -> /opt/airflow/output/images/long_3722.jpg
[2026-09-22T00:28:12.429+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:12,429 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3723.mp3
[2026-09-22T00:28:12.674+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:12,674 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3723.mp3
[2026-09-22T00:28:13.193+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:13,193 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3723.jpg
[2026-09-22T00:28:16.976+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:16,976 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3726.mp3
[2026-09-22T00:28:17.525+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:17,525 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3726.mp3
[2026-09-22T00:28:18.000+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:17,999 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3726.jpg
[2026-09-22T00:28:22.225+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:22,225 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3730.mp3
[2026-09-22T00:28:22.464+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:22,463 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3730.mp3
[2026-09-22T00:28:23.222+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:23,221 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3730.jpg
[2026-09-22T00:28:26.801+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:26,801 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3736.mp3
[2026-09-22T00:28:27.063+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:27,062 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3736.mp3
[2026-09-22T00:28:27.726+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:27,725 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3736.jpg
[2026-09-22T00:28:32.459+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:32,459 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3745.mp3
[2026-09-22T00:28:32.800+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:32,800 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3745.mp3
[2026-09-22T00:28:33.655+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:33,654 | INFO     | media.image_downloader | Downloaded background image for scene='social' -> /opt/airflow/output/images/long_3745.jpg
[2026-09-22T00:28:37.673+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:37,673 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3752.mp3
[2026-09-22T00:28:37.991+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:28:37,990 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3752.mp3
