[2026-07-25T08:37:30.513+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:30,513 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_258.mp3
[2026-07-25T08:37:30.696+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:30,696 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_258.jpg
[2026-07-25T08:37:33.667+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:33,667 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_249.mp3
[2026-07-25T08:37:34.104+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:34,104 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_249.mp3
[2026-07-25T08:37:34.520+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:34,520 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_249.jpg
[2026-07-25T08:37:37.748+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:37,748 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_261.mp3
[2026-07-25T08:37:38.061+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:38,061 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_261.mp3
[2026-07-25T08:37:38.287+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:38,287 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_261.jpg
[2026-07-25T08:37:42.130+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:42,130 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_276.mp3
[2026-07-25T08:37:42.660+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:42,660 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_276.mp3
[2026-07-25T08:37:43.006+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:43,006 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_276.jpg
[2026-07-25T08:37:46.311+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:46,311 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_277.mp3
[2026-07-25T08:37:46.696+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:46,695 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_277.mp3
[2026-07-25T08:37:46.834+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:46,834 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_277.jpg
[2026-07-25T08:37:49.665+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:49,665 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_278.mp3
[2026-07-25T08:37:50.107+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:50,107 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_278.mp3
[2026-07-25T08:37:50.890+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:50,890 | INFO     | media.image_downloader | Downloaded background image for scene='discussion' -> /opt/airflow/output/images/long_278.jpg
[2026-07-25T08:37:54.073+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:54,073 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_279.mp3
[2026-07-25T08:37:54.478+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:54,478 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_279.mp3
[2026-07-25T08:37:55.045+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:55,045 | INFO     | media.image_downloader | Downloaded background image for scene='thinking' -> /opt/airflow/output/images/long_279.jpg
[2026-07-25T08:37:58.158+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:37:58,158 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_280.mp3
