[2026-08-11T13:39:24.038+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:24,038 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1624.mp3
[2026-08-11T13:39:24.714+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:24,714 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1624.jpg
[2026-08-11T13:39:31.711+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:31,711 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1628.mp3
[2026-08-11T13:39:32.322+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:32,322 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1628.mp3
[2026-08-11T13:39:32.874+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:32,874 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1628.jpg
[2026-08-11T13:39:38.523+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:38,523 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1629.mp3
[2026-08-11T13:39:39.134+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:39,134 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1629.mp3
[2026-08-11T13:39:39.771+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:39,771 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1629.jpg
[2026-08-11T13:39:48.841+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:48,841 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1632.mp3
[2026-08-11T13:39:49.316+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:49,316 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1632.mp3
[2026-08-11T13:39:49.752+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:49,752 | INFO     | media.image_downloader | Downloaded background image for scene='kitchen' -> /opt/airflow/output/images/long_1632.jpg
[2026-08-11T13:39:55.188+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:55,187 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1633.mp3
[2026-08-11T13:39:55.797+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:55,797 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1633.mp3
[2026-08-11T13:39:56.243+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:39:56,243 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1633.jpg
[2026-08-11T13:40:02.324+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:02,324 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1637.mp3
[2026-08-11T13:40:02.907+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:02,907 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1637.mp3
[2026-08-11T13:40:03.570+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:03,570 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1637.jpg
[2026-08-11T13:40:09.309+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:09,309 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1639.mp3
[2026-08-11T13:40:09.968+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:09,968 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1639.mp3
[2026-08-11T13:40:10.479+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:10,479 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1639.jpg
[2026-08-11T13:40:16.434+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:16,434 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1642.mp3
[2026-08-11T13:40:17.081+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:17,081 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1642.mp3
[2026-08-11T13:40:17.741+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:17,741 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1642.jpg
[2026-08-11T13:40:25.148+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:25,148 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1643.mp3
[2026-08-11T13:40:25.586+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:25,586 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1643.mp3
[2026-08-11T13:40:26.454+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:26,453 | INFO     | media.image_downloader | Downloaded background image for scene='terminal' -> /opt/airflow/output/images/long_1643.jpg
[2026-08-11T13:40:35.559+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:35,559 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1649.mp3
[2026-08-11T13:40:36.147+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:36,147 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1649.mp3
[2026-08-11T13:40:36.551+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:36,551 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1649.jpg
[2026-08-11T13:40:43.382+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:43,382 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1650.mp3
[2026-08-11T13:40:43.900+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:43,900 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1650.mp3
[2026-08-11T13:40:44.181+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:44,181 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_1650.jpg
[2026-08-11T13:40:50.493+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:50,493 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1653.mp3
[2026-08-11T13:40:51.098+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:51,098 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1653.mp3
[2026-08-11T13:40:52.113+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:52,113 | INFO     | media.image_downloader | Downloaded background image for scene='immigration' -> /opt/airflow/output/images/long_1653.jpg
[2026-08-11T13:40:58.093+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:58,092 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1657.mp3
[2026-08-11T13:40:58.859+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:58,859 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1657.mp3
[2026-08-11T13:40:59.200+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:40:59,200 | INFO     | media.image_downloader | Downloaded background image for scene='reception' -> /opt/airflow/output/images/long_1657.jpg
[2026-08-11T13:41:05.211+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:41:05,211 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1660.mp3
[2026-08-11T13:41:05.698+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:41:05,698 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1660.mp3
[2026-08-11T13:41:06.203+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:41:06,203 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1660.jpg
[2026-08-11T13:41:16.938+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:41:16,938 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-08-11T13:41:48.712+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:41:48,712 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_1610.mp4
[2026-08-11T13:41:58.124+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:41:58,124 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_1610.jpg
[2026-08-11T13:41:58.800+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 195, 'file_path': '/opt/airflow/output/videos/long_1610.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_1610.jpg', 'title': "20 Essential English Phrases for Daily Life & Travel | Taky's Language School", 'description': 'Master 20 practical English expressions for daily life, travel, hotels, and airport conversations! In this lesson from Taky\'s Language School, you\'ll learn natural spoken English phrases like "It\'s on me," "I\'m running a bit late," "I\'d like to check in, please," and "It completely slipped my mind."\n\nPerfect for ESL students and English learners looking to improve listening and speaking skills for real-life situations.\n\nKey Topics Covered:\n- Airport & flight expressions\n- Hotel check-in & room requests\n- Social conversations & daily idioms\n\nSubscribe to Taky\'s Language School for more natural English practice!', 'tags': ['learn English', 'spoken English', 'English expressions', "Taky's Language School", 'daily English phrases', 'travel English', 'hotel English phrases', 'English conversation practice', 'speak English fluently', 'practical English', 'ESL lesson', 'airport English'], 'video_type': 'long'}
[2026-08-11T13:41:58.803+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-08-11T13:41:58.832+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_2, run_id=scheduled__2026-08-10T12:00:00+00:00, execution_date=20260810T120000, start_date=20260811T133841, end_date=20260811T134158
[2026-08-11T13:41:58.910+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-08-11T13:41:59.170+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-08-11T13:41:59.180+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
