[2026-08-23T00:42:48.287+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:48,287 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2367.mp3
[2026-08-23T00:42:48.781+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:42:48,781 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_2367.jpg
[2026-08-23T00:43:25.550+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:43:25,549 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2366.mp3
[2026-08-23T00:43:26.481+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:43:26,481 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2366.mp3
[2026-08-23T00:43:27.056+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:43:27,056 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2366.jpg
[2026-08-23T00:43:52.053+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:43:52,052 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2377.mp3
[2026-08-23T00:43:53.081+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:43:53,081 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2377.mp3
[2026-08-23T00:43:54.100+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:43:54,099 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2377.jpg
[2026-08-23T00:44:11.867+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:44:11,867 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2368.mp3
[2026-08-23T00:44:12.425+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:44:12,425 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2368.mp3
[2026-08-23T00:44:12.747+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:44:12,747 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_2368.jpg
[2026-08-23T00:44:22.063+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:44:22,063 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2374.mp3
[2026-08-23T00:44:22.574+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:44:22,574 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2374.mp3
[2026-08-23T00:44:23.058+0000] {logging_mixin.py:188} INFO - 2026-08-23 00:44:23,057 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2374.jpg
