[2026-07-27T12:07:06.687+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:06,687 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1019.mp3
[2026-07-27T12:07:06.866+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:06,866 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_1019.jpg
[2026-07-27T12:07:10.880+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:10,880 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1020.mp3
[2026-07-27T12:07:11.277+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:11,276 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1020.mp3
[2026-07-27T12:07:11.573+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:11,573 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1020.jpg
[2026-07-27T12:07:15.799+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:15,798 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1021.mp3
[2026-07-27T12:07:16.245+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:16,245 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1021.mp3
[2026-07-27T12:07:16.599+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:16,599 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1021.jpg
[2026-07-27T12:07:21.248+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:21,248 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1022.mp3
[2026-07-27T12:07:21.764+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:21,764 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1022.mp3
[2026-07-27T12:07:22.114+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:22,114 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1022.jpg
[2026-07-27T12:07:27.211+0000] {logging_mixin.py:188} INFO - 2026-07-27 12:07:27,211 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1026.mp3
