[2026-07-27T01:40:24.998+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:24,998 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_652.mp3
[2026-07-27T01:40:25.353+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:25,352 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_652.jpg
[2026-07-27T01:40:29.626+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:29,626 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_655.mp3
[2026-07-27T01:40:30.110+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:30,109 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_655.mp3
[2026-07-27T01:40:30.598+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:30,598 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_655.jpg
[2026-07-27T01:40:34.773+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:34,773 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_656.mp3
[2026-07-27T01:40:35.186+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:35,186 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_656.mp3
[2026-07-27T01:40:35.411+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:35,411 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_656.jpg
[2026-07-27T01:40:40.031+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:40,031 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_657.mp3
[2026-07-27T01:40:40.715+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:40,715 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_657.mp3
[2026-07-27T01:40:41.107+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:41,106 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_657.jpg
[2026-07-27T01:40:47.537+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:47,537 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_659.mp3
[2026-07-27T01:40:47.923+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:40:47,923 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_659.mp3
