[2026-07-25T05:07:58.496+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:58,495 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_213.mp3
[2026-07-25T05:07:59.010+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:59,010 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_213.mp3
[2026-07-25T05:07:59.430+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:07:59,430 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_213.jpg
[2026-07-25T05:08:04.440+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:04,439 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_217.mp3
[2026-07-25T05:08:05.013+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:05,012 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_217.mp3
[2026-07-25T05:08:05.302+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:05,302 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_217.jpg
[2026-07-25T05:08:09.818+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:09,818 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_242.mp3
[2026-07-25T05:08:10.314+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:10,313 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_242.mp3
[2026-07-25T05:08:10.672+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:10,672 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_242.jpg
[2026-07-25T05:08:15.049+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:15,049 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_251.mp3
[2026-07-25T05:08:15.507+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:15,507 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_251.mp3
[2026-07-25T05:08:16.117+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:16,117 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_251.jpg
[2026-07-25T05:08:19.962+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:19,962 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_256.mp3
[2026-07-25T05:08:20.249+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:20,249 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_256.mp3
[2026-07-25T05:08:20.438+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:20,438 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_256.jpg
[2026-07-25T05:08:24.623+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:24,623 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_273.mp3
[2026-07-25T05:08:25.126+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:25,125 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_273.mp3
[2026-07-25T05:08:25.521+0000] {logging_mixin.py:188} INFO - 2026-07-25 05:08:25,521 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_273.jpg
