[2026-08-11T13:49:24.011+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:24,011 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_1748.jpg
[2026-08-11T13:49:29.950+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:29,950 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1754.mp3
[2026-08-11T13:49:30.575+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:30,575 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1754.mp3
[2026-08-11T13:49:30.966+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:30,966 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1754.jpg
[2026-08-11T13:49:38.369+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:38,369 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1758.mp3
[2026-08-11T13:49:38.991+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:38,991 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1758.mp3
[2026-08-11T13:49:39.583+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:39,583 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1758.jpg
[2026-08-11T13:49:47.597+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:47,597 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1763.mp3
[2026-08-11T13:49:48.106+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:48,106 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1763.mp3
[2026-08-11T13:49:48.654+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:48,653 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1763.jpg
[2026-08-11T13:49:58.896+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:58,896 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1770.mp3
[2026-08-11T13:49:59.512+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:59,512 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1770.mp3
[2026-08-11T13:49:59.941+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:49:59,940 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_1770.jpg
[2026-08-11T13:50:05.747+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:05,747 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1772.mp3
[2026-08-11T13:50:06.456+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:06,456 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1772.mp3
[2026-08-11T13:50:07.939+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:07,938 | INFO     | media.image_downloader | Downloaded background image for scene='market' -> /opt/airflow/output/images/long_1772.jpg
[2026-08-11T13:50:18.381+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:18,381 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1778.mp3
[2026-08-11T13:50:19.142+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:19,142 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1778.mp3
[2026-08-11T13:50:20.164+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:20,164 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1778.jpg
[2026-08-11T13:50:34.620+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:34,620 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1787.mp3
[2026-08-11T13:50:35.093+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:35,092 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1787.mp3
[2026-08-11T13:50:35.858+0000] {logging_mixin.py:188} INFO - 2026-08-11 13:50:35,858 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_1787.jpg
