[2026-07-28T12:59:50.779+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:50,779 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1162.mp3
[2026-07-28T12:59:51.086+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:51,086 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1162.jpg
[2026-07-28T12:59:55.706+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:55,706 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1200.mp3
[2026-07-28T12:59:56.598+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:56,598 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1200.mp3
[2026-07-28T12:59:56.982+0000] {logging_mixin.py:188} INFO - 2026-07-28 12:59:56,982 | INFO     | media.image_downloader | Downloaded background image for scene='concert' -> /opt/airflow/output/images/long_1200.jpg
[2026-07-28T13:00:01.292+0000] {logging_mixin.py:188} INFO - 2026-07-28 13:00:01,292 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1174.mp3
[2026-07-28T13:00:01.855+0000] {logging_mixin.py:188} INFO - 2026-07-28 13:00:01,855 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1174.mp3
[2026-07-28T13:00:02.069+0000] {logging_mixin.py:188} INFO - 2026-07-28 13:00:02,069 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1174.jpg
[2026-07-28T13:00:05.737+0000] {logging_mixin.py:188} INFO - 2026-07-28 13:00:05,737 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1176.mp3
[2026-07-28T13:00:06.270+0000] {logging_mixin.py:188} INFO - 2026-07-28 13:00:06,270 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1176.mp3
[2026-07-28T13:00:06.705+0000] {logging_mixin.py:188} INFO - 2026-07-28 13:00:06,705 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1176.jpg
[2026-07-28T13:00:10.415+0000] {logging_mixin.py:188} INFO - 2026-07-28 13:00:10,415 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1195.mp3
