[2026-07-25T08:45:59.944+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:45:59,943 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_354.mp3
[2026-07-25T08:46:00.136+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:00,136 | INFO     | media.image_downloader | Downloaded background image for scene='subway' -> /opt/airflow/output/images/long_354.jpg
[2026-07-25T08:46:03.128+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:03,128 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_358.mp3
[2026-07-25T08:46:03.512+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:03,512 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_358.mp3
[2026-07-25T08:46:04.068+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:04,067 | INFO     | media.image_downloader | Downloaded background image for scene='terminal' -> /opt/airflow/output/images/long_358.jpg
[2026-07-25T08:46:07.575+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:07,575 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_364.mp3
[2026-07-25T08:46:07.949+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:07,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_364.mp3
[2026-07-25T08:46:08.108+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:08,108 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_364.jpg
[2026-07-25T08:46:11.336+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:11,336 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_365.mp3
[2026-07-25T08:46:11.716+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:11,716 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_365.mp3
[2026-07-25T08:46:11.893+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:11,893 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_365.jpg
[2026-07-25T08:46:15.338+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:15,338 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_369.mp3
[2026-07-25T08:46:15.813+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:15,813 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_369.mp3
[2026-07-25T08:46:15.993+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:15,993 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_369.jpg
[2026-07-25T08:46:19.820+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:19,820 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_371.mp3
[2026-07-25T08:46:20.291+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:20,290 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_371.mp3
[2026-07-25T08:46:20.475+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:20,475 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_371.jpg
[2026-07-25T08:46:23.833+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:23,833 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_374.mp3
[2026-07-25T08:46:24.221+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:24,221 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_374.mp3
[2026-07-25T08:46:24.388+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:24,388 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_374.jpg
[2026-07-25T08:46:27.679+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:27,679 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_375.mp3
[2026-07-25T08:46:28.003+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:28,003 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_375.mp3
[2026-07-25T08:46:28.168+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:28,168 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_375.jpg
[2026-07-25T08:46:31.657+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:31,656 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_351.mp3
[2026-07-25T08:46:32.105+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:46:32,105 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_351.mp3
