[2026-07-29T12:33:48.899+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:48,899 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1275.mp3
[2026-07-29T12:33:49.513+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:49,513 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1275.jpg
[2026-07-29T12:33:55.616+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:55,616 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1279.mp3
[2026-07-29T12:33:56.113+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:56,113 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1279.mp3
[2026-07-29T12:33:57.385+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:33:57,385 | INFO     | media.image_downloader | Downloaded background image for scene='menu' -> /opt/airflow/output/images/long_1279.jpg
[2026-07-29T12:34:02.509+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:02,509 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1280.mp3
[2026-07-29T12:34:03.034+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:03,034 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1280.mp3
[2026-07-29T12:34:03.492+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:03,492 | INFO     | media.image_downloader | Downloaded background image for scene='phone' -> /opt/airflow/output/images/long_1280.jpg
[2026-07-29T12:34:08.064+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:08,063 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1281.mp3
[2026-07-29T12:34:08.646+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:08,646 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1281.mp3
[2026-07-29T12:34:09.168+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:09,168 | INFO     | media.image_downloader | Downloaded background image for scene='workplace' -> /opt/airflow/output/images/long_1281.jpg
[2026-07-29T12:34:13.381+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:13,381 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1282.mp3
[2026-07-29T12:34:14.423+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:14,423 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1282.mp3
[2026-07-29T12:34:15.999+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:15,999 | INFO     | media.image_downloader | Downloaded background image for scene='coffee' -> /opt/airflow/output/images/long_1282.jpg
[2026-07-29T12:34:20.869+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:20,869 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1283.mp3
[2026-07-29T12:34:21.435+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:21,435 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1283.mp3
[2026-07-29T12:34:22.164+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:22,164 | INFO     | media.image_downloader | Downloaded background image for scene='calendar' -> /opt/airflow/output/images/long_1283.jpg
[2026-07-29T12:34:26.642+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:26,641 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1284.mp3
[2026-07-29T12:34:27.378+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:27,378 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1284.mp3
[2026-07-29T12:34:28.715+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:28,715 | INFO     | media.image_downloader | Downloaded background image for scene='register' -> /opt/airflow/output/images/long_1284.jpg
[2026-07-29T12:34:34.436+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:34,436 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1285.mp3
[2026-07-29T12:34:34.998+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:34,998 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1285.mp3
[2026-07-29T12:34:36.046+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:36,046 | INFO     | media.image_downloader | Downloaded background image for scene='baggage' -> /opt/airflow/output/images/long_1285.jpg
[2026-07-29T12:34:41.068+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:41,067 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1286.mp3
[2026-07-29T12:34:41.625+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:41,625 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1286.mp3
[2026-07-29T12:34:42.239+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:42,238 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1286.jpg
[2026-07-29T12:34:48.457+0000] {logging_mixin.py:188} INFO - 2026-07-29 12:34:48,456 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1288.mp3
