[2026-07-24T00:16:42.804+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-24T00:16:42.926+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-24T00:16:16.192686+00:00 [queued]>
[2026-07-24T00:16:42.947+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video manual__2026-07-24T00:16:16.192686+00:00 [queued]>
[2026-07-24T00:16:42.953+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-24T00:16:42.977+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video> on 2026-07-24 00:16:16.192686+00:00
[2026-07-24T00:16:42.991+0000] {standard_task_runner.py:64} INFO - Started process 224 to run task
[2026-07-24T00:16:42.996+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'youtube_english_video_pipeline', 'build_long_video', 'manual__2026-07-24T00:16:16.192686+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/youtube_pipeline.py', '--cfg-path', '/tmp/tmpz04vozky']
[2026-07-24T00:16:43.001+0000] {standard_task_runner.py:91} INFO - Job 81: Subtask build_long_video
[2026-07-24T00:31:47.004+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:31:47,003 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_148.mp3
[2026-07-24T00:31:47.331+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:31:47,331 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_148.mp3
[2026-07-24T00:31:54.367+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:31:54,367 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_148.jpg
[2026-07-24T00:31:54.665+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:31:54,665 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_148.mp3 -i /opt/airflow/output/audio/example_148.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_148_raw.audio.mp3
[2026-07-24T00:31:55.968+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:31:55,968 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_148.jpg -i /opt/airflow/output/videos/_tmp/long_148_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='How’s it going?':fontcolor=FFFFFF:fontsize=76:x=(w-text_w)/2:y=(h*0.16):line_spacing=12:box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='Hey Sarah! How’s it going with your new\napartment search?':fontcolor=FFD54A:fontsize=68:x=(w-text_w)/2:y=(h-text_h)/2+((h*0.15)):line_spacing=16:box=1:boxcolor=black@0.55:boxborderw=24 -c:v libx264 -preset slow -crf 18 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_148_raw.mp4
[2026-07-24T00:35:09.164+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:35:09,164 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_152.mp3
[2026-07-24T00:35:09.645+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:35:09,645 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_152.mp3
[2026-07-24T00:35:18.008+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:35:18,008 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_152.jpg
[2026-07-24T00:35:18.055+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:35:18,055 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -i /opt/airflow/output/audio/phrase_152.mp3 -i /opt/airflow/output/audio/example_152.mp3 -filter_complex [0:a]apad=pad_dur=0.4[a0];[a0][1:a]concat=n=2:v=0:a=1[aout] -map [aout] /opt/airflow/output/videos/_tmp/long_152_raw.audio.mp3
[2026-07-24T00:35:18.923+0000] {logging_mixin.py:188} INFO - 2026-07-24 00:35:18,923 | INFO     | video.video_builder | Running ffmpeg: ffmpeg -y -loop 1 -i /opt/airflow/output/images/long_152.jpg -i /opt/airflow/output/videos/_tmp/long_152_raw.audio.mp3 -vf scale=1920:1080:force_original_aspect_ratio=increase,crop=1920:1080,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='I didn’t quite catch that.':fontcolor=FFFFFF:fontsize=76:x=(w-text_w)/2:y=(h*0.16):line_spacing=12:box=1:boxcolor=black@0.45:boxborderw=20,drawtext=fontfile='/opt/airflow/assets/fonts/NotoSansJP-Bold.ttf':text='The connection lagged for a moment. Could\nyou repeat that? I didn’t quite catch that.':fontcolor=FFD54A:fontsize=68:x=(w-text_w)/2:y=(h-text_h)/2+((h*0.15)):line_spacing=16:box=1:boxcolor=black@0.55:boxborderw=24 -c:v libx264 -preset slow -crf 18 -tune stillimage -pix_fmt yuv420p -c:a aac -b:a 192k -shortest -r 30 /opt/airflow/output/videos/_tmp/long_152_raw.mp4
