[2026-09-20T12:05:30.497+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:30,497 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3309.mp3
[2026-09-20T12:05:30.999+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:30,999 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_3309.jpg
[2026-09-20T12:05:34.506+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:34,505 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3326.mp3
[2026-09-20T12:05:35.000+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:35,000 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3326.mp3
[2026-09-20T12:05:35.540+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:35,540 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3326.jpg
[2026-09-20T12:05:39.197+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:39,197 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3342.mp3
[2026-09-20T12:05:39.515+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:39,515 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3342.mp3
[2026-09-20T12:05:40.111+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:40,111 | INFO     | media.image_downloader | Downloaded background image for scene='commute' -> /opt/airflow/output/images/long_3342.jpg
[2026-09-20T12:05:43.679+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:43,679 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3343.mp3
[2026-09-20T12:05:43.978+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:05:43,978 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3343.mp3
