[2026-07-25T08:39:30.208+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-25T08:39:30.235+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:39:30.255+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: youtube_english_video_pipeline.build_long_video_7 manual__2026-07-25T08:23:54.309173+00:00 [queued]>
[2026-07-25T08:39:30.264+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2026-07-25T08:39:30.277+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): build_long_video_7> on 2026-07-25 08:23:54.309173+00:00
[2026-07-25T08:39:30.287+0000] {standard_task_runner.py:64} INFO - Started process 27574 to run task
[2026-07-25T08:39:56.135+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:56,135 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_304.mp3
[2026-07-25T08:39:56.434+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:39:56,434 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_304.jpg
[2026-07-25T08:40:00.119+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:00,119 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_305.mp3
[2026-07-25T08:40:00.539+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:00,539 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_305.mp3
[2026-07-25T08:40:01.296+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:01,295 | INFO     | media.image_downloader | Downloaded background image for scene='concert' -> /opt/airflow/output/images/long_305.jpg
[2026-07-25T08:40:05.279+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:05,279 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_307.mp3
[2026-07-25T08:40:05.699+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:05,698 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_307.mp3
[2026-07-25T08:40:05.901+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:05,901 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_307.jpg
[2026-07-25T08:40:09.637+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:09,637 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_308.mp3
[2026-07-25T08:40:10.071+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:10,071 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_308.mp3
[2026-07-25T08:40:10.391+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:10,391 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_308.jpg
[2026-07-25T08:40:13.734+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:13,734 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_309.mp3
[2026-07-25T08:40:14.282+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:14,282 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_309.mp3
[2026-07-25T08:40:14.560+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:14,560 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_309.jpg
[2026-07-25T08:40:17.906+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:17,906 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_310.mp3
[2026-07-25T08:40:18.388+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:18,387 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_310.mp3
[2026-07-25T08:40:18.624+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:18,624 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_310.jpg
[2026-07-25T08:40:21.926+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:21,926 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_311.mp3
[2026-07-25T08:40:22.382+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:22,382 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_311.mp3
[2026-07-25T08:40:22.563+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:22,563 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_311.jpg
[2026-07-25T08:40:25.424+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:25,424 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_312.mp3
[2026-07-25T08:40:25.800+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:25,800 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_312.mp3
[2026-07-25T08:40:26.037+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:26,037 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_312.jpg
[2026-07-25T08:40:29.717+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:29,717 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_317.mp3
[2026-07-25T08:40:30.098+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:30,098 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_317.mp3
[2026-07-25T08:40:30.264+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:30,264 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_317.jpg
[2026-07-25T08:40:33.751+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:40:33,751 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_318.mp3
