[2026-09-21T01:04:49.037+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:49,037 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3586.jpg
[2026-09-21T01:04:52.731+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:52,731 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3587.mp3
[2026-09-21T01:04:53.017+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:53,017 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3587.mp3
[2026-09-21T01:04:53.531+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:53,530 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3587.jpg
[2026-09-21T01:04:57.484+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:57,484 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3592.mp3
[2026-09-21T01:04:57.833+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:57,833 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3592.mp3
[2026-09-21T01:04:58.606+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:04:58,606 | INFO     | media.image_downloader | Downloaded background image for scene='social' -> /opt/airflow/output/images/long_3592.jpg
[2026-09-21T01:05:01.638+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:01,638 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3598.mp3
[2026-09-21T01:05:01.882+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:01,882 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3598.mp3
[2026-09-21T01:05:02.406+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:02,406 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3598.jpg
[2026-09-21T01:05:05.801+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:05,801 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3599.mp3
[2026-09-21T01:05:06.013+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:06,013 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3599.mp3
[2026-09-21T01:05:06.492+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:06,492 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3599.jpg
[2026-09-21T01:05:10.678+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:10,678 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3603.mp3
[2026-09-21T01:05:10.918+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:10,918 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3603.mp3
[2026-09-21T01:05:11.546+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:11,546 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3603.jpg
[2026-09-21T01:05:15.576+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:15,575 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3610.mp3
[2026-09-21T01:05:15.844+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:15,844 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3610.mp3
[2026-09-21T01:05:16.423+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:16,423 | INFO     | media.image_downloader | Downloaded background image for scene='conversation' -> /opt/airflow/output/images/long_3610.jpg
[2026-09-21T01:05:20.012+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:20,012 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3611.mp3
[2026-09-21T01:05:20.404+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:20,404 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3611.mp3
[2026-09-21T01:05:20.969+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:20,969 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_3611.jpg
[2026-09-21T01:05:26.531+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:26,531 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3620.mp3
[2026-09-21T01:05:26.976+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:05:26,976 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3620.mp3
