[2026-07-25T08:28:48.997+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:48,997 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_129.mp3
[2026-07-25T08:28:49.178+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:49,178 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_129.jpg
[2026-07-25T08:28:52.510+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:52,510 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_117.mp3
[2026-07-25T08:28:52.850+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:52,850 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_117.mp3
[2026-07-25T08:28:53.025+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:53,025 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_117.jpg
[2026-07-25T08:28:56.314+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:56,314 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_191.mp3
[2026-07-25T08:28:56.829+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:56,829 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_191.mp3
[2026-07-25T08:28:57.009+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:28:57,009 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_191.jpg
[2026-07-25T08:29:01.371+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:01,371 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_189.mp3
[2026-07-25T08:29:01.714+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:01,714 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_189.mp3
[2026-07-25T08:29:01.893+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:01,893 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_189.jpg
[2026-07-25T08:29:05.018+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:05,018 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_216.mp3
[2026-07-25T08:29:05.580+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:05,580 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_216.mp3
[2026-07-25T08:29:06.452+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:06,452 | INFO     | media.image_downloader | Downloaded background image for scene='bar' -> /opt/airflow/output/images/long_216.jpg
[2026-07-25T08:29:09.733+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:09,733 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_188.mp3
[2026-07-25T08:29:10.107+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:10,107 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_188.mp3
[2026-07-25T08:29:10.275+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:10,274 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_188.jpg
[2026-07-25T08:29:13.510+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:13,510 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_195.mp3
[2026-07-25T08:29:14.180+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:14,180 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_195.mp3
[2026-07-25T08:29:14.361+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:14,361 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_195.jpg
[2026-07-25T08:29:18.745+0000] {logging_mixin.py:188} INFO - 2026-07-25 08:29:18,744 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_201.mp3
