[2026-09-20T12:03:20.833+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:20,833 | INFO     | media.image_downloader | Downloaded background image for scene='meeting room' -> /opt/airflow/output/images/long_3392.jpg
[2026-09-20T12:03:24.634+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:24,634 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3396.mp3
[2026-09-20T12:03:24.922+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:24,922 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3396.mp3
[2026-09-20T12:03:25.548+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:25,547 | INFO     | media.image_downloader | Downloaded background image for scene='counter' -> /opt/airflow/output/images/long_3396.jpg
[2026-09-20T12:03:28.559+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:28,558 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3410.mp3
[2026-09-20T12:03:28.866+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:28,866 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3410.mp3
[2026-09-20T12:03:29.277+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:29,277 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3410.jpg
[2026-09-20T12:03:32.779+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:32,779 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3411.mp3
[2026-09-20T12:03:33.048+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:33,048 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3411.mp3
[2026-09-20T12:03:33.453+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:33,453 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3411.jpg
[2026-09-20T12:03:36.766+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:36,766 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3412.mp3
[2026-09-20T12:03:37.059+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:37,059 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3412.mp3
[2026-09-20T12:03:38.029+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:38,028 | INFO     | media.image_downloader | Downloaded background image for scene='meeting' -> /opt/airflow/output/images/long_3412.jpg
[2026-09-20T12:03:41.756+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:03:41,756 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3431.mp3
