[2026-07-26T06:18:49.836+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:49,836 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_561.jpg
[2026-07-26T06:18:54.582+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:54,582 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_562.mp3
[2026-07-26T06:18:54.946+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:54,946 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_562.mp3
[2026-07-26T06:18:55.221+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:18:55,220 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_562.jpg
[2026-07-26T06:19:00.222+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:00,222 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_563.mp3
[2026-07-26T06:19:00.915+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:00,914 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_563.mp3
[2026-07-26T06:19:01.602+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:01,602 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_563.jpg
[2026-07-26T06:19:06.796+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:06,796 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_574.mp3
[2026-07-26T06:19:07.281+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:07,281 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_574.mp3
[2026-07-26T06:19:07.689+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:07,689 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_574.jpg
[2026-07-26T06:19:12.725+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:12,725 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_578.mp3
[2026-07-26T06:19:13.285+0000] {logging_mixin.py:188} INFO - 2026-07-26 06:19:13,285 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_578.mp3
