[2026-09-22T00:15:46.639+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:46,639 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3642.jpg
[2026-09-22T00:15:51.178+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:51,178 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3644.mp3
[2026-09-22T00:15:51.515+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:51,515 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3644.mp3
[2026-09-22T00:15:52.269+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:52,269 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3644.jpg
[2026-09-22T00:15:57.658+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:57,658 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3647.mp3
[2026-09-22T00:15:58.128+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:58,128 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3647.mp3
[2026-09-22T00:15:58.604+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:15:58,603 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3647.jpg
[2026-09-22T00:16:03.443+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:03,443 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3657.mp3
[2026-09-22T00:16:03.851+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:03,851 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3657.mp3
[2026-09-22T00:16:04.320+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:04,320 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3657.jpg
[2026-09-22T00:16:08.752+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:08,752 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3664.mp3
[2026-09-22T00:16:09.129+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:09,129 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3664.mp3
[2026-09-22T00:16:09.967+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:09,967 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3664.jpg
[2026-09-22T00:16:14.884+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:14,883 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3665.mp3
[2026-09-22T00:16:15.278+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:15,278 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3665.mp3
[2026-09-22T00:16:15.909+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:15,909 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3665.jpg
[2026-09-22T00:16:20.226+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:20,226 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3668.mp3
[2026-09-22T00:16:20.701+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:20,700 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3668.mp3
[2026-09-22T00:16:21.142+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:21,142 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3668.jpg
[2026-09-22T00:16:25.571+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:25,570 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3669.mp3
[2026-09-22T00:16:25.830+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:25,830 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3669.mp3
[2026-09-22T00:16:26.595+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:26,595 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_3669.jpg
[2026-09-22T00:16:31.979+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:31,978 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3673.mp3
[2026-09-22T00:16:32.262+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:32,262 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3673.mp3
[2026-09-22T00:16:33.078+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:33,078 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_3673.jpg
[2026-09-22T00:16:38.333+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:38,333 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3678.mp3
[2026-09-22T00:16:38.686+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:38,686 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3678.mp3
[2026-09-22T00:16:39.230+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:39,229 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3678.jpg
[2026-09-22T00:16:43.720+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:43,720 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3686.mp3
[2026-09-22T00:16:44.256+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:44,256 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3686.mp3
[2026-09-22T00:16:44.705+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:44,704 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3686.jpg
[2026-09-22T00:16:49.790+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:49,790 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3687.mp3
[2026-09-22T00:16:50.084+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:50,084 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3687.mp3
[2026-09-22T00:16:50.796+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:50,796 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3687.jpg
[2026-09-22T00:16:55.526+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:55,526 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3688.mp3
[2026-09-22T00:16:55.936+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:55,936 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3688.mp3
[2026-09-22T00:16:56.484+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:16:56,484 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3688.jpg
[2026-09-22T00:17:00.684+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:17:00,684 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3690.mp3
[2026-09-22T00:17:01.100+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:17:01,100 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3690.mp3
[2026-09-22T00:17:01.665+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:17:01,665 | INFO     | media.image_downloader | Downloaded background image for scene='city' -> /opt/airflow/output/images/long_3690.jpg
[2026-09-22T00:17:11.303+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:17:11,303 | WARNING  | video.video_builder | BGM file not found at /opt/airflow/assets/bgm/long_bgm.mp3, rendering without background music
[2026-09-22T00:17:40.866+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:17:40,866 | INFO     | video.video_builder | Final video rendered -> /opt/airflow/output/videos/long_3614.mp4
[2026-09-22T00:17:43.286+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:17:43,285 | INFO     | media.thumbnail_builder | Built thumbnail -> /opt/airflow/output/thumbnails/long_3614.jpg
[2026-09-22T00:17:43.658+0000] {python.py:237} INFO - Done. Returned value was: {'video_id': 447, 'file_path': '/opt/airflow/output/videos/long_3614.mp4', 'thumbnail_path': '/opt/airflow/output/thumbnails/long_3614.jpg', 'title': 'Travel English: 20 Phrases You’ll Actually Use Abroad', 'description': 'Master essential Travel English with these 20 natural phrases designed for Japanese speakers traveling abroad. Stop relying on textbook translations and start speaking with confidence in hotels, airports, and around the city. In this video, Taky covers practical expressions for check-in, asking for directions, navigation, and dining. Whether you are heading out on a business trip or a vacation, these native-sounding phrases will help you navigate common travel scenarios smoothly and professionally. Avoid common mistakes and sound more natural during your next trip. Perfect for English learners who want to feel prepared and stress-free while traveling.', 'tags': ['Travel English', 'English for Japanese speakers', 'Speak English', 'Travel phrases', 'Learn English', 'English conversation', "Taky's Language School", 'Business English'], 'video_type': 'long'}
[2026-09-22T00:17:43.660+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-09-22T00:17:43.710+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=youtube_english_video_pipeline, task_id=build_long_video_2, run_id=scheduled__2026-09-20T12:00:00+00:00, execution_date=20260920T120000, start_date=20260922T001507, end_date=20260922T001743
[2026-09-22T00:17:43.799+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-09-22T00:17:44.110+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-09-22T00:17:44.117+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
