[2026-08-11T14:04:08.107+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:08,107 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1808.jpg
[2026-08-11T14:04:12.400+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:12,400 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1809.mp3
[2026-08-11T14:04:12.865+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:12,865 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1809.mp3
[2026-08-11T14:04:13.133+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:13,133 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1809.jpg
[2026-08-11T14:04:17.159+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:17,159 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1811.mp3
[2026-08-11T14:04:17.565+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:17,565 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1811.mp3
[2026-08-11T14:04:18.032+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:18,032 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1811.jpg
[2026-08-11T14:04:22.061+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:22,061 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1817.mp3
[2026-08-11T14:04:22.725+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:22,725 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1817.mp3
[2026-08-11T14:04:23.057+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:23,057 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1817.jpg
[2026-08-11T14:04:27.654+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:27,654 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1821.mp3
[2026-08-11T14:04:28.144+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:28,144 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1821.mp3
[2026-08-11T14:04:28.533+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:28,533 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1821.jpg
[2026-08-11T14:04:32.877+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:32,877 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1827.mp3
[2026-08-11T14:04:33.378+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:33,377 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1827.mp3
[2026-08-11T14:04:33.694+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:33,693 | INFO     | media.image_downloader | Downloaded background image for scene='reception' -> /opt/airflow/output/images/long_1827.jpg
[2026-08-11T14:04:37.773+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:37,773 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1830.mp3
[2026-08-11T14:04:38.341+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:38,341 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1830.mp3
[2026-08-11T14:04:38.726+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:38,726 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1830.jpg
[2026-08-11T14:04:43.130+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:43,130 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1832.mp3
[2026-08-11T14:04:43.734+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:43,734 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1832.mp3
[2026-08-11T14:04:44.235+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:44,235 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_1832.jpg
[2026-08-11T14:04:52.295+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:52,295 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1833.mp3
[2026-08-11T14:04:52.943+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:52,942 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1833.mp3
[2026-08-11T14:04:54.435+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:54,434 | INFO     | media.image_downloader | Downloaded background image for scene='dinner' -> /opt/airflow/output/images/long_1833.jpg
[2026-08-11T14:04:58.479+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:58,479 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1845.mp3
[2026-08-11T14:04:58.862+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:58,862 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1845.mp3
[2026-08-11T14:04:59.369+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:04:59,369 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1845.jpg
[2026-08-11T14:05:03.925+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:05:03,925 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1847.mp3
[2026-08-11T14:05:04.429+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:05:04,429 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1847.mp3
[2026-08-11T14:05:04.763+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:05:04,763 | INFO     | media.image_downloader | Downloaded background image for scene='party' -> /opt/airflow/output/images/long_1847.jpg
[2026-08-11T14:05:08.166+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:05:08,166 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1848.mp3
[2026-08-11T14:05:08.675+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:05:08,675 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1848.mp3
[2026-08-11T14:05:08.940+0000] {logging_mixin.py:188} INFO - 2026-08-11 14:05:08,940 | INFO     | media.image_downloader | Downloaded background image for scene='classroom' -> /opt/airflow/output/images/long_1848.jpg
