[2026-07-27T11:20:48.754+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:48,754 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_866.mp3
[2026-07-27T11:20:49.058+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:49,058 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_866.jpg
[2026-07-27T11:20:53.007+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:53,007 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_885.mp3
[2026-07-27T11:20:53.383+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:53,383 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_885.mp3
[2026-07-27T11:20:53.712+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:53,712 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_885.jpg
[2026-07-27T11:20:57.239+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:57,239 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_878.mp3
[2026-07-27T11:20:57.702+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:57,702 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_878.mp3
[2026-07-27T11:20:57.962+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:20:57,962 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_878.jpg
[2026-07-27T11:21:01.489+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:01,488 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_892.mp3
[2026-07-27T11:21:01.872+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:01,872 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_892.mp3
[2026-07-27T11:21:02.068+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:02,068 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_892.jpg
[2026-07-27T11:21:06.043+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:06,043 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_898.mp3
[2026-07-27T11:21:06.582+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:06,582 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_898.mp3
[2026-07-27T11:21:06.798+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:06,798 | INFO     | media.image_downloader | Downloaded background image for scene='reception' -> /opt/airflow/output/images/long_898.jpg
[2026-07-27T11:21:10.184+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:10,184 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_879.mp3
[2026-07-27T11:21:10.556+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:10,556 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_879.mp3
[2026-07-27T11:21:10.778+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:10,778 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_879.jpg
[2026-07-27T11:21:14.569+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:14,569 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_917.mp3
[2026-07-27T11:21:15.068+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:15,068 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_917.mp3
[2026-07-27T11:21:15.503+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:15,503 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_917.jpg
[2026-07-27T11:21:19.745+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:19,745 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_916.mp3
[2026-07-27T11:21:20.128+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:20,128 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_916.mp3
[2026-07-27T11:21:20.403+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:20,403 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_916.jpg
[2026-07-27T11:21:25.378+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:25,377 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_922.mp3
[2026-07-27T11:21:25.662+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:25,662 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_922.mp3
[2026-07-27T11:21:25.881+0000] {logging_mixin.py:188} INFO - 2026-07-27 11:21:25,881 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_922.jpg
