[2026-09-22T00:44:54.860+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:54,860 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3800.jpg
[2026-09-22T00:44:59.225+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:59,225 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3808.mp3
[2026-09-22T00:44:59.575+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:44:59,575 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3808.mp3
[2026-09-22T00:45:00.370+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:00,370 | INFO     | media.image_downloader | Downloaded background image for scene='networking' -> /opt/airflow/output/images/long_3808.jpg
[2026-09-22T00:45:04.491+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:04,490 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3811.mp3
[2026-09-22T00:45:04.823+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:04,823 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3811.mp3
[2026-09-22T00:45:05.542+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:05,542 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3811.jpg
[2026-09-22T00:45:10.566+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:10,566 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3814.mp3
[2026-09-22T00:45:10.844+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:10,844 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3814.mp3
[2026-09-22T00:45:11.423+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:11,423 | INFO     | media.image_downloader | Downloaded background image for scene='travel' -> /opt/airflow/output/images/long_3814.jpg
[2026-09-22T00:45:15.738+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:45:15,738 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3823.mp3
