[2026-09-05T00:52:15.387+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:15,387 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2513.mp3
[2026-09-05T00:52:15.703+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:15,703 | INFO     | media.image_downloader | Downloaded background image for scene='boutique' -> /opt/airflow/output/images/long_2513.jpg
[2026-09-05T00:52:20.643+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:20,643 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2514.mp3
[2026-09-05T00:52:21.092+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:21,092 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2514.mp3
[2026-09-05T00:52:21.297+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:21,297 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_2514.jpg
[2026-09-05T00:52:25.690+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:25,690 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2515.mp3
[2026-09-05T00:52:26.065+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:26,065 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2515.mp3
[2026-09-05T00:52:26.287+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:26,287 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2515.jpg
[2026-09-05T00:52:30.979+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:30,979 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2518.mp3
[2026-09-05T00:52:31.504+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:31,504 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2518.mp3
[2026-09-05T00:52:31.817+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:31,817 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_2518.jpg
[2026-09-05T00:52:37.773+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:37,773 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2519.mp3
[2026-09-05T00:52:38.162+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:38,162 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2519.mp3
[2026-09-05T00:52:38.453+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:38,453 | INFO     | media.image_downloader | Downloaded background image for scene='shopping' -> /opt/airflow/output/images/long_2519.jpg
[2026-09-05T00:52:43.724+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:43,724 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2520.mp3
[2026-09-05T00:52:44.306+0000] {logging_mixin.py:188} INFO - 2026-09-05 00:52:44,306 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2520.mp3
