[2026-07-27T01:36:58.414+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:58,413 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_613.mp3
[2026-07-27T01:36:58.639+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:36:58,639 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_613.jpg
[2026-07-27T01:37:03.119+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:03,119 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_611.mp3
[2026-07-27T01:37:03.510+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:03,510 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_611.mp3
[2026-07-27T01:37:03.875+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:03,875 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_611.jpg
[2026-07-27T01:37:09.633+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:09,633 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_637.mp3
[2026-07-27T01:37:10.058+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:10,058 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_637.mp3
[2026-07-27T01:37:10.280+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:10,279 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_637.jpg
[2026-07-27T01:37:15.564+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:15,564 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_614.mp3
[2026-07-27T01:37:15.927+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:15,927 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_614.mp3
[2026-07-27T01:37:16.161+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:16,161 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_614.jpg
[2026-07-27T01:37:20.579+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:20,579 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_626.mp3
[2026-07-27T01:37:21.012+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:21,012 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_626.mp3
[2026-07-27T01:37:21.300+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:21,300 | INFO     | media.image_downloader | Downloaded background image for scene='cafeteria' -> /opt/airflow/output/images/long_626.jpg
[2026-07-27T01:37:26.434+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:26,434 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_619.mp3
[2026-07-27T01:37:26.805+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:26,805 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_619.mp3
[2026-07-27T01:37:27.058+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:27,057 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_619.jpg
[2026-07-27T01:37:31.630+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:31,629 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_620.mp3
[2026-07-27T01:37:32.058+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:32,058 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_620.mp3
[2026-07-27T01:37:32.275+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:32,274 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_620.jpg
[2026-07-27T01:37:36.687+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:36,687 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_624.mp3
[2026-07-27T01:37:37.064+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:37,064 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_624.mp3
[2026-07-27T01:37:37.274+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:37,273 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_624.jpg
[2026-07-27T01:37:42.200+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:42,200 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_625.mp3
[2026-07-27T01:37:42.583+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:42,583 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_625.mp3
[2026-07-27T01:37:42.812+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:42,812 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_625.jpg
[2026-07-27T01:37:47.150+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:47,150 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_634.mp3
[2026-07-27T01:37:47.519+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:47,518 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_634.mp3
[2026-07-27T01:37:47.832+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:47,832 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_634.jpg
[2026-07-27T01:37:54.308+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:54,308 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_635.mp3
[2026-07-27T01:37:54.710+0000] {logging_mixin.py:188} INFO - 2026-07-27 01:37:54,710 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_635.mp3
