[2026-09-07T11:21:21.478+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:21,478 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2617.mp3
[2026-09-07T11:21:22.617+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:22,617 | INFO     | media.image_downloader | Downloaded background image for scene='boardroom' -> /opt/airflow/output/images/long_2617.jpg
[2026-09-07T11:21:26.362+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:26,362 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2618.mp3
[2026-09-07T11:21:26.745+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:26,745 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2618.mp3
[2026-09-07T11:21:27.100+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:27,100 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_2618.jpg
[2026-09-07T11:21:30.381+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:30,381 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2619.mp3
[2026-09-07T11:21:30.819+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:30,819 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2619.mp3
[2026-09-07T11:21:31.021+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:31,021 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_2619.jpg
[2026-09-07T11:21:34.763+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:34,763 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_2620.mp3
[2026-09-07T11:21:35.230+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:35,230 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_2620.mp3
[2026-09-07T11:21:35.921+0000] {logging_mixin.py:188} INFO - 2026-09-07 11:21:35,920 | INFO     | media.image_downloader | Downloaded background image for scene='store' -> /opt/airflow/output/images/long_2620.jpg
