[2026-08-11T02:30:43.240+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:43,240 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1465.mp3
[2026-08-11T02:30:43.453+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:43,453 | INFO     | media.image_downloader | Downloaded background image for scene='train' -> /opt/airflow/output/images/long_1465.jpg
[2026-08-11T02:30:47.372+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:47,372 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1467.mp3
[2026-08-11T02:30:47.725+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:47,725 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1467.mp3
[2026-08-11T02:30:47.949+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:47,949 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_1467.jpg
[2026-08-11T02:30:52.607+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:52,607 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1468.mp3
[2026-08-11T02:30:53.054+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:53,054 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1468.mp3
[2026-08-11T02:30:53.253+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:53,253 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1468.jpg
[2026-08-11T02:30:59.445+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:59,445 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1470.mp3
[2026-08-11T02:30:59.956+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:30:59,956 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1470.mp3
[2026-08-11T02:31:00.207+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:00,206 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_1470.jpg
[2026-08-11T02:31:05.988+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:05,988 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1471.mp3
[2026-08-11T02:31:06.392+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:06,392 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1471.mp3
[2026-08-11T02:31:06.684+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:06,684 | INFO     | media.image_downloader | Downloaded background image for scene='park' -> /opt/airflow/output/images/long_1471.jpg
[2026-08-11T02:31:13.219+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:13,219 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1473.mp3
[2026-08-11T02:31:13.670+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:13,670 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1473.mp3
[2026-08-11T02:31:14.005+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:14,005 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_1473.jpg
[2026-08-11T02:31:18.940+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:18,940 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1476.mp3
[2026-08-11T02:31:19.402+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:19,402 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1476.mp3
[2026-08-11T02:31:19.618+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:19,618 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_1476.jpg
[2026-08-11T02:31:24.486+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:24,486 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1478.mp3
[2026-08-11T02:31:24.902+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:24,902 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1478.mp3
[2026-08-11T02:31:25.508+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:25,508 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_1478.jpg
[2026-08-11T02:31:30.494+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:30,494 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1480.mp3
[2026-08-11T02:31:31.060+0000] {logging_mixin.py:188} INFO - 2026-08-11 02:31:31,059 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1480.mp3
