[2026-09-22T00:35:51.553+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:51,553 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3721.mp3
[2026-09-22T00:35:52.204+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:52,204 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3721.jpg
[2026-09-22T00:35:56.940+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:56,940 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3733.mp3
[2026-09-22T00:35:57.360+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:57,360 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3733.mp3
[2026-09-22T00:35:57.878+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:35:57,877 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3733.jpg
[2026-09-22T00:36:02.342+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:02,342 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3737.mp3
[2026-09-22T00:36:02.671+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:02,671 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3737.mp3
[2026-09-22T00:36:03.628+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:03,628 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3737.jpg
[2026-09-22T00:36:08.359+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:08,359 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3741.mp3
[2026-09-22T00:36:08.683+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:08,682 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3741.mp3
[2026-09-22T00:36:09.240+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:09,240 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3741.jpg
[2026-09-22T00:36:13.607+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:13,607 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3742.mp3
[2026-09-22T00:36:14.188+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:14,188 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3742.mp3
[2026-09-22T00:36:14.719+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:14,718 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_3742.jpg
[2026-09-22T00:36:19.742+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:19,742 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3748.mp3
[2026-09-22T00:36:20.102+0000] {logging_mixin.py:188} INFO - 2026-09-22 00:36:20,102 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3748.mp3
