[2026-09-20T12:13:35.251+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:35,251 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3479.jpg
[2026-09-20T12:13:39.651+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:39,651 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3482.mp3
[2026-09-20T12:13:40.066+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:40,066 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3482.mp3
[2026-09-20T12:13:40.806+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:40,806 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3482.jpg
[2026-09-20T12:13:44.156+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:44,156 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3483.mp3
[2026-09-20T12:13:44.524+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:44,524 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3483.mp3
[2026-09-20T12:13:44.953+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:44,953 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3483.jpg
[2026-09-20T12:13:48.713+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:48,713 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3488.mp3
[2026-09-20T12:13:49.241+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:49,241 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3488.mp3
[2026-09-20T12:13:49.751+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:49,751 | INFO     | media.image_downloader | Downloaded background image for scene='airport' -> /opt/airflow/output/images/long_3488.jpg
[2026-09-20T12:13:53.041+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:53,041 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3489.mp3
[2026-09-20T12:13:53.226+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:53,226 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3489.mp3
[2026-09-20T12:13:53.640+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:53,640 | INFO     | media.image_downloader | Downloaded background image for scene='bus stop' -> /opt/airflow/output/images/long_3489.jpg
[2026-09-20T12:13:57.114+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:57,114 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3492.mp3
[2026-09-20T12:13:57.495+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:57,495 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3492.mp3
[2026-09-20T12:13:58.299+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:13:58,299 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3492.jpg
[2026-09-20T12:14:01.949+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:01,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3500.mp3
[2026-09-20T12:14:02.275+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:02,275 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3500.mp3
[2026-09-20T12:14:02.906+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:02,906 | INFO     | media.image_downloader | Downloaded background image for scene='navigation' -> /opt/airflow/output/images/long_3500.jpg
[2026-09-20T12:14:06.165+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:06,165 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3505.mp3
[2026-09-20T12:14:06.487+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:06,487 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3505.mp3
[2026-09-20T12:14:07.159+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:07,159 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3505.jpg
[2026-09-20T12:14:10.213+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:10,213 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3511.mp3
[2026-09-20T12:14:10.393+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:10,393 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3511.mp3
[2026-09-20T12:14:11.021+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:11,021 | INFO     | media.image_downloader | Downloaded background image for scene='bus' -> /opt/airflow/output/images/long_3511.jpg
[2026-09-20T12:14:14.325+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:14,325 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3512.mp3
[2026-09-20T12:14:14.640+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:14,640 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3512.mp3
[2026-09-20T12:14:15.299+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:15,299 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3512.jpg
[2026-09-20T12:14:18.619+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:18,619 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3520.mp3
[2026-09-20T12:14:18.969+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:18,969 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3520.mp3
[2026-09-20T12:14:19.398+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:19,398 | INFO     | media.image_downloader | Downloaded background image for scene='taxi' -> /opt/airflow/output/images/long_3520.jpg
[2026-09-20T12:14:23.045+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:23,045 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3521.mp3
[2026-09-20T12:14:23.418+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:14:23,418 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3521.mp3
