[2026-09-20T11:29:21.401+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:21,401 | INFO     | media.image_downloader | Downloaded background image for scene='friends' -> /opt/airflow/output/images/long_3323.jpg
[2026-09-20T11:29:25.959+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:25,959 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3324.mp3
[2026-09-20T11:29:26.196+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:26,196 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3324.mp3
[2026-09-20T11:29:26.909+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:26,909 | INFO     | media.image_downloader | Downloaded background image for scene='greeting' -> /opt/airflow/output/images/long_3324.jpg
[2026-09-20T11:29:31.240+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:31,240 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3348.mp3
[2026-09-20T11:29:31.544+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:31,544 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3348.mp3
[2026-09-20T11:29:31.995+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:31,995 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3348.jpg
[2026-09-20T11:29:37.004+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:37,004 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3273.mp3
[2026-09-20T11:29:37.319+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:37,319 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3273.mp3
[2026-09-20T11:29:37.802+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:37,802 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3273.jpg
[2026-09-20T11:29:42.806+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:42,806 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3407.mp3
[2026-09-20T11:29:43.251+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:29:43,251 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3407.mp3
