[2026-09-20T12:08:05.949+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:05,949 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3379.mp3
[2026-09-20T12:08:06.367+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:06,367 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3379.jpg
[2026-09-20T12:08:10.250+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:10,250 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3384.mp3
[2026-09-20T12:08:10.650+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:10,650 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3384.mp3
[2026-09-20T12:08:11.252+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:11,252 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3384.jpg
[2026-09-20T12:08:15.681+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:15,681 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3385.mp3
[2026-09-20T12:08:16.013+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:16,013 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3385.mp3
[2026-09-20T12:08:16.454+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:16,454 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3385.jpg
[2026-09-20T12:08:19.306+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:19,306 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3387.mp3
[2026-09-20T12:08:19.530+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:19,530 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3387.mp3
[2026-09-20T12:08:19.974+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:19,974 | INFO     | media.image_downloader | Downloaded background image for scene='restaurant' -> /opt/airflow/output/images/long_3387.jpg
[2026-09-20T12:08:23.399+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:23,399 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3388.mp3
[2026-09-20T12:08:23.577+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:23,577 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3388.mp3
[2026-09-20T12:08:24.285+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:24,284 | INFO     | media.image_downloader | Downloaded background image for scene='cafe' -> /opt/airflow/output/images/long_3388.jpg
[2026-09-20T12:08:27.753+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:27,753 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3389.mp3
[2026-09-20T12:08:28.244+0000] {logging_mixin.py:188} INFO - 2026-09-20 12:08:28,244 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3389.mp3
