[2026-09-20T11:15:34.600+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:34,600 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3266.jpg
[2026-09-20T11:15:39.183+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:39,182 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3268.mp3
[2026-09-20T11:15:39.570+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:39,570 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3268.mp3
[2026-09-20T11:15:40.247+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:40,247 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3268.jpg
[2026-09-20T11:15:44.894+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:44,894 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3277.mp3
[2026-09-20T11:15:45.496+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:45,495 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3277.mp3
[2026-09-20T11:15:46.193+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:46,192 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3277.jpg
[2026-09-20T11:15:50.491+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:50,491 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3289.mp3
[2026-09-20T11:15:50.870+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:50,870 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3289.mp3
[2026-09-20T11:15:51.545+0000] {logging_mixin.py:188} INFO - 2026-09-20 11:15:51,544 | INFO     | media.image_downloader | Downloaded background image for scene='street' -> /opt/airflow/output/images/long_3289.jpg
