[2026-07-29T23:47:47.094+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:47,094 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1458.jpg
[2026-07-29T23:47:53.788+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:53,787 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1463.mp3
[2026-07-29T23:47:54.284+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:54,284 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1463.mp3
[2026-07-29T23:47:54.576+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:47:54,575 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1463.jpg
[2026-07-29T23:48:05.744+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:05,743 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1472.mp3
[2026-07-29T23:48:06.205+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:06,205 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1472.mp3
[2026-07-29T23:48:06.517+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:06,517 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1472.jpg
[2026-07-29T23:48:17.846+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:17,846 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1416.mp3
[2026-07-29T23:48:18.426+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:18,426 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1416.mp3
[2026-07-29T23:48:18.769+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:18,769 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1416.jpg
[2026-07-29T23:48:26.070+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:26,070 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1479.mp3
[2026-07-29T23:48:26.488+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:26,488 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1479.mp3
[2026-07-29T23:48:26.764+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:26,764 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1479.jpg
[2026-07-29T23:48:32.718+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:32,717 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1491.mp3
[2026-07-29T23:48:33.235+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:33,235 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1491.mp3
[2026-07-29T23:48:33.560+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:33,560 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1491.jpg
[2026-07-29T23:48:40.391+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:40,390 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1496.mp3
[2026-07-29T23:48:40.886+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:40,886 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1496.mp3
[2026-07-29T23:48:41.169+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:41,169 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_1496.jpg
[2026-07-29T23:48:47.843+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:47,843 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_1510.mp3
[2026-07-29T23:48:48.289+0000] {logging_mixin.py:188} INFO - 2026-07-29 23:48:48,288 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_1510.mp3
