[2026-09-21T01:01:59.556+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:01:59,556 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3556.jpg
[2026-09-21T01:02:03.915+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:03,915 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3562.mp3
[2026-09-21T01:02:04.259+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:04,259 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3562.mp3
[2026-09-21T01:02:04.954+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:04,954 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3562.jpg
[2026-09-21T01:02:09.330+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:09,330 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3573.mp3
[2026-09-21T01:02:09.633+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:09,632 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3573.mp3
[2026-09-21T01:02:10.053+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:10,053 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3573.jpg
[2026-09-21T01:02:13.761+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:13,760 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3583.mp3
[2026-09-21T01:02:14.014+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:14,014 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3583.mp3
[2026-09-21T01:02:14.573+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:14,572 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3583.jpg
[2026-09-21T01:02:19.056+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:19,056 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3590.mp3
[2026-09-21T01:02:19.295+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:19,294 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3590.mp3
[2026-09-21T01:02:19.715+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:19,715 | INFO     | media.image_downloader | Downloaded background image for scene='office' -> /opt/airflow/output/images/long_3590.jpg
[2026-09-21T01:02:24.225+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:24,225 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3591.mp3
[2026-09-21T01:02:24.610+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:24,610 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3591.mp3
[2026-09-21T01:02:25.315+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:25,314 | INFO     | media.image_downloader | Downloaded background image for scene='hotel' -> /opt/airflow/output/images/long_3591.jpg
[2026-09-21T01:02:29.635+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:29,635 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/phrase_3597.mp3
[2026-09-21T01:02:29.924+0000] {logging_mixin.py:188} INFO - 2026-09-21 01:02:29,924 | INFO     | tts.edge_tts | Synthesized audio -> /opt/airflow/output/audio/example_3597.mp3
